State,Zone,state,zone
Benue,North Central,benue,northcentral
Kogi,North Central,kogi,northcentral
Kwara,North Central,kwara,northcentral
Nasarawa,North Central,nasarawa,northcentral
Niger,North Central,niger,northcentral
Plateau,North Central,plateau,northcentral
Abuja (FCT),North Central,abujafct,northcentral
Adamawa,North East,adamawa,northeast
Bauchi,North East,bauchi,northeast
Borno,North East,borno,northeast
Gombe,North East,gombe,northeast
Taraba,North East,taraba,northeast
Yobe,North East,yobe,northeast
Jigawa,North West,jigawa,northwest
Kaduna,North West,kaduna,northwest
Kano,North West,kano,northwest
Katsina,North West,katsina,northwest
Kebbi,North West,kebbi,northwest
Sokoto,North West,sokoto,northwest
Zamfara,North West,zamfara,northwest
Abia,South East,abia,southeast
Anambra,South East,anambra,southeast
Ebonyi,South East,ebonyi,southeast
Enugu,South East,enugu,southeast
Imo,South East,imo,southeast
Akwa Ibom,South South,akwaibom,southsouth
Bayelsa,South South,bayelsa,southsouth
Cross River,South South,crossriver,southsouth
Delta,South South,delta,southsouth
Edo,South South,edo,southsouth
Rivers,South South,rivers,southsouth
Ekiti,South West,ekiti,southwest
Lagos,South West,lagos,southwest
Ogun,South West,ogun,southwest
Ondo,South West,ondo,southwest
Osun,South West,osun,southwest
Oyo,South West,oyo,southwest
